dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserveUSD,totalSupply,token0.name,token0.totalLiquidity,token1.name,token1.totalLiquidity,priceUSD
121631514.147787,53992.048032475576310059,121547498.1654459146019796993152538,2021-04-25 00:00:00,366546276.8710752250252807193884771,2.488820877829365489,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2314.544734000812165346466757316276
133301020.870587,54033.507939743486219006,133199465.0700297512778609006083732,2021-04-26 00:00:00,389451268.1054210882061725189253572,2.527202506034598216,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2531.474976974758635220246909774225
116291630.453747,44829.687879712505285681,116199923.7079584860711390266973674,2021-04-27 00:00:00,398335058.0241075621539171761707632,2.519470208087031874,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2657.789571153640871951301004417789
126605996.283397,47207.65938725515094061,126537362.6384534636067102208422684,2021-04-28 00:00:00,410201855.4676093194018117484054493,2.551244972046565737,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2743.605544510615417784253073839449
106445840.112174,38916.400116433171845905,106411948.9955303454447475831509427,2021-04-29 00:00:00,416586929.8012983745897441243821319,2.582976889053328314,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2757.800925575845949112998246317409
88397391.989497,32068.391924527796354903,88387766.30100560450089306217400365,2021-04-30 00:00:00,414143414.6179075179590567002192964,2.557773882374533684,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2771.787375074326005872894404999597
119766255.169008,41641.579360118762382405,119808074.4733270227543088817604287,2021-05-01 00:00:00,426574511.9539221193169671564098792,2.555749570687213364,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2942.415109937576012024666306308406
102036170.570714,34810.143761255883056003,102051479.3181821315572997549759497,2021-05-02 00:00:00,428854903.4787675048012459706563618,2.565636141246790262,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2947.040416947217628770729510023026
210007314.345951,65666.991836662782381523,209959637.4479272960674689876175175,2021-05-03 00:00:00,456144316.6391208036744057296498138,2.526468708922934595,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3425.722822756163611160138925590033
327857428.22109,98353.804664759981642328,327855318.4908842357110550630414454,2021-05-04 00:00:00,435038542.4838129060223696298228525,2.471240396249730596,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3244.981582159085227464730080939232
209750640.407975,62683.586174532338432544,209864806.6440224181144880748184167,2021-05-05 00:00:00,430576977.0383415846929284479612908,2.346003519698705937,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3518.206256000763904897008343764563
116809185.342121,33517.482883503563305793,116768890.8350619194831454218551317,2021-05-06 00:00:00,383429550.3332797692795750039901093,2.093542129029118085,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3496.116199989852449867221682700062
83850508.232115,24146.167779298627881608,83823980.35675895184859024323456755,2021-05-07 00:00:00,363836139.2016231939506326458868448,1.988426856162576143,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3481.11899865438117217076876024513
119679537.464472,32250.997411532087832822,119756689.7098813451913052659409456,2021-05-08 00:00:00,369219799.7491314562923384827017212,1.903546335164164761,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3906.092403713435917607461749350141
108548984.444678,27967.81882811662793745,108579883.4578534471708425183597962,2021-05-09 00:00:00,351163197.3372780411035491696950629,1.8066335479352518,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3918.815312924733869760123035899779
224150870.147897,55770.985101798244906467,224496135.330157337811363823121328,2021-05-10 00:00:00,347657690.2798167514023726858220075,1.777045158040449851,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3946.664725840027355252815842395587
134068968.681246,33856.839541691834133458,134024581.7365459895359335535702125,2021-05-11 00:00:00,351092670.8901446974616621370447829,1.745067988680324798,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,4167.839971669392239675822476759074
241175413.979825,58267.280836550515169834,241180901.3335072364262118443306483,2021-05-12 00:00:00,332513997.0156637644692424656384395,1.723456418012841395,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,3817.7215033744482690324444102361
